UniqueID;Relative.Adult.Mobility;Estimated.Max.Body.Size;Gregariousness;Foundation.Species;Habitat.Complexity;Abundance;Chemosynthesis.Obligate;Position.of.Symbiont;Min.Depth.Range.Lower.Bound;Min.Depth.Range.Upper.Bound;Max.Depth.Range.Lower.Bound;Max.Depth.Range.Upper.Bound;Substratum;Zonation.From.Vent;Nutritional.Source;Trophic.Mode
Bat91;2;100;Always;Yes;Bed forming;High;Other CBE;Endosymbiont;500;1000;1500;2000;Hard;Medium;Symbiont;Bacterivore
Bat92;2;100;Always;Yes;Bed forming;High;Vent;Endosymbiont;1000;1500;1500;2000;Hard;Medium;Symbiont;Bacterivore
Bat93;2;1000;Always;Yes;Bed forming;High;Other CBE;Endosymbiont;500;1000;2000;2500;Hard;Medium;Symbiont;Bacterivore
Bat94;2;1000;Always;Yes;Bed forming;High;Vent;Endosymbiont;3000;3500;3500;4000;Hard;Medium;Symbiont;Bacterivore
Bat95;2;1000;Always;Yes;Bed forming;High;Vent;Endosymbiont;1000;1500;3500;4000;Hard;High;Symbiont;Bacterivore
Bat96;2;1000;Sometimes;Yes;Bed forming;High;Vent;Endosymbiont;2000;2500;2500;3000;Hard;Medium;Symbiont;Detritivore
Bat97;3;100;NA;NA;NA;NA;Vent;NA;0;500;1000;1500;Soft;NA;Fauna;Carnivore S
Ben98;4;10;NA;No;NA;NA;Vent;None;1500;2000;2000;2500;Water column;NA;Sediment or rock surface;Bacterivore
Ben99;4;10;Sometimes;No;Does not add;High;Vent;None;2000;2500;2500;3000;Hard;Medium;Sediment or rock surface;Bacterivore
Ber100;4;100;NA;No;Does not add;Low;No;None;0;500;1000;1500;Water column;Low;Fauna;Carnivore O
Bol101;1;1000;Never;NA;NA;NA;No;NA;2000;2500;2500;3000;Hard;Low;Fauna;Carnivore O
Bon102;2;100;Sometimes;No;Burrow forming;High;Vent;None;1500;2000;1500;2000;Hard;Medium;Sediment or rock surface;Detritivore
Bon103;2;10;Sometimes;No;Does not add;Low;Vent;None;1500;2000;2000;2500;Hard;Medium;Sediment or rock surface;Detritivore
Bou104;4;10;Always;No;Does not add;High;Vent;None;1500;2000;1500;2000;Hard;High;Sediment or rock surface;Detritivore
Bra105;4;100;Never;No;Does not add;Low;Vent;None;2000;2500;2500;3000;Hard;Medium;Fauna;Carnivore O
Bra106;4;100;Never;No;Does not add;High;Vent;None;1500;2000;2500;3000;Hard;Medium;Fauna;Carnivore O
Bra107;4;100;Never;No;Does not add;High;Vent;None;2000;2500;2500;3000;Hard;Medium;Fauna;Carnivore O
Bra108;2;10;Sometimes;No;Does not add;Low;Vent;None;500;1000;500;1000;Hard;NA;NA;NA
Bra109;4;10;Never;No;Does not add;Low;Vent;None;1500;2000;3000;3500;Hard;Medium;Fauna;Carnivore O
Bra110;3;100;Never;NA;Does not add;Low;Vent;NA;1500;2000;1500;2000;Hard;Medium;Fauna;Carnivore O
Bra111;3;100;Never;No;Does not add;High;Vent;None;1000;1500;2000;2500;Hard;High;Fauna;Carnivore O
Bra112;3;100;Never;No;Does not add;High;Vent;None;1000;1500;2500;3000;Hard;High;Fauna;Carnivore O
Bra113;4;100;Never;No;Does not add;High;Vent;None;1500;2000;2000;2500;Hard;Medium;Fauna;Carnivore O
Bra114;4;100;Never;No;Does not add;High;Vent;None;2000;2500;2500;3000;Hard;Medium;Fauna;Carnivore O
Bra115;3;100;Never;No;Does not add;High;Vent;None;500;1000;3000;3500;Hard;Medium;Water column;Detritivore
Bra116;2;100;Never;No;Does not add;Low;Vent;None;2000;2500;2500;3000;Hard;Medium;Fauna;Carnivore O
Bra117;3;100;NA;NA;NA;NA;Vent;NA;2000;2500;3000;3500;NA;Medium;NA;NA
Bra118;2;10;Sometimes;No;Does not add;High;Vent;None;500;1000;3500;4000;Hard;Medium;Water column;Detritivore
Bra119;3;100;Sometimes;No;Does not add;High;Other CBE;None;1500;2000;3500;4000;Hard;Medium;Water column;Detritivore
Bra120;2;100;Never;No;Does not add;High;Vent;None;2000;2500;2500;3000;Hard;Medium;Water column;Detritivore
Bra121;1;10;Sometimes;No;Does not add;Low;No;NA;0;500;500;1000;Hard;Medium;Water column;NA
Bru122;3;10;NA;NA;NA;NA;Vent;NA;1500;2000;2000;2500;NA;NA;Sediment or rock surface;NA
Bru123;3;10;NA;No;Does not add;Low;Vent;NA;2000;2500;2500;3000;Hard;Medium;NA;NA
Bru124;3;10;Sometimes;No;Does not add;Low;Vent;None;2000;2500;3000;3500;Hard;Low;Sediment or rock surface;Detritivore
Buc125;3;100;Sometimes;No;Does not add;Low;Vent;None;2000;2500;2000;2500;Hard;Medium;Fauna;Carnivore S
Buc126;4;100;Sometimes;No;Does not add;Low;Vent;None;1500;2000;2000;2500;NA;NA;Fauna;Carnivore O
Byt127;4;100;NA;NA;NA;NA;Vent;NA;NA;NA;NA;NA;Hard;NA;Fauna;Carnivore S
Byt128;3;100;Sometimes;No;Does not add;High;Vent;None;2000;2500;2500;3000;Hard;Medium;Fauna;Carnivore S
Byt129;4;10;NA;NA;NA;NA;Vent;NA;2000;2500;2000;2500;NA;NA;Fauna;Carnivore S
Byt130;4;100;Sometimes;No;Does not add;High;Vent;None;2000;2500;2500;3000;Hard;High;Fauna;Carnivore S
Byt131;3;100;Sometimes;No;Does not add;High;Vent;None;2000;2500;2000;2500;Hard;Medium;Fauna;Carnivore S
Cal132;3;100;Sometimes;Yes;Bed forming;High;Other CBE;Endosymbiont;0;500;2000;2500;Soft;Low;Symbiont;Bacterivore
Cal133;3;100;Sometimes;Yes;Bed forming;High;Other CBE;Endosymbiont;500;1000;2000;2500;Hard;Low;Symbiont;Bacterivore
Cal134;3;100;Sometimes;Yes;Bed forming;High;Other CBE;Endosymbiont;500;1000;2000;2500;Hard;Low;Symbiont;Bacterivore
Cal135;3;100;Sometimes;Yes;Bed forming;High;Other CBE;Endosymbiont;500;1000;1500;2000;Soft;Low;Symbiont;Bacterivore
Cal136;3;1000;Sometimes;Yes;Bed forming;High;Vent;Endosymbiont;2000;2500;2500;3000;Hard;Medium;Symbiont;Bacterivore
Can137;1;10;Sometimes;No;Does not add;Low;No;None;1500;2000;2000;2500;Hard;Low;Fauna;Carnivore O
Can138;1;10;NA;NA;NA;NA;Vent;NA;NA;NA;NA;NA;NA;NA;Fauna;Carnivore O
Can139;1;100;Never;No;Does not add;High;Vent;None;2000;2500;2000;2500;Hard;Low;Water column;Carnivore O
Can140;2;10;Sometimes;No;Does not add;Low;Vent;None;500;1000;1000;1500;Hard;Medium;Sediment or rock surface;Bacterivore
Car141;3;1000;NA;No;Does not add;NA;Vent;NA;2500;3000;2500;3000;NA;NA;Fauna;NA
Cat142;4;1000;Sometimes;No;Does not add;Low;No;None;500;1000;2500;3000;Water column;High;Fauna;Carnivore O
Cat143;3;100;NA;NA;NA;High;Vent;NA;2500;3000;2500;3000;Hard;Low;Water column;Detritivore
Cau144;1;100;Sometimes;No;Open bush forming;Low;No;None;2500;3000;2500;3000;Hard;Low;Water column;Detritivore
Cen145;4;1000;Never;No;Does not add;Low;No;None;0;500;3500;4000;Water column;Low;Fauna;Carnivore O
Ceu146;4;10;NA;No;Does not add;High;Vent;None;1000;1500;3500;4000;Hard;Medium;Sediment or rock surface;Carnivore O
Ceu147;4;10;NA;No;Does not add;High;Vent;None;1000;1500;3500;4000;Hard;Medium;Sediment or rock surface;Carnivore O
Ceu148;4;10;NA;NA;NA;High;Vent;NA;1000;1500;3500;4000;NA;NA;Sediment or rock surface;Carnivore O
Ceu149;4;10;NA;No;Does not add;High;Vent;None;1000;1500;3500;4000;Hard;Medium;Sediment or rock surface;Carnivore O
Cha150;3;100;Sometimes;No;Does not add;Low;No;None;0;500;1500;2000;Hard;Low;Fauna;Carnivore O
Cha151;4;10;NA;No;NA;NA;Vent;NA;1500;2000;3500;4000;Water column;NA;Water column;NA
Che152;3;10;Sometimes;No;Does not add;NA;Vent;NA;2500;3000;2500;3000;NA;NA;Water column;NA
Chi153;3;1000;NA;No;NA;NA;Vent;None;NA;NA;NA;NA;Hard;Low;Sediment or rock surface;Detritivore
Chi154;3;1000;Never;No;Does not add;Low;Other CBE;None;0;500;2500;3000;Hard;Medium;Sediment or rock surface;Detritivore
Cho155;1;1000;NA;Yes;NA;NA;Vent;NA;2500;3000;2500;3000;Hard;NA;Fauna;Carnivore O
Cho156;2;10;Never;No;NA;Low;Vent;None;500;1000;2500;3000;Hard;Low;Fauna;Carnivore O
Cho157;1;100;NA;No;NA;NA;No;None;2500;3000;2500;3000;Hard;Low;Fauna;NA
Chr158;3;100;Always;NA;Mat forming;High;Vent;Endosymbiont;2000;2500;2500;3000;Hard;High;Symbiont;Bacterivore
Cir159;4;1000;NA;NA;NA;Low;No;NA;1000;1500;3000;3500;NA;NA;Fauna;Carnivore S
Cir160;4;1000;Never;No;Does not add;NA;No;NA;0;500;4500;5000;Water column;NA;Fauna;Carnivore O
Cla161;1;100;NA;NA;NA;NA;No;None;1500;2000;1500;2000;NA;NA;Fauna;Carnivore O
Cla162;1;1000;NA;NA;NA;NA;Vent;NA;NA;NA;NA;NA;NA;NA;Fauna;NA
Cla163;1;100;NA;NA;NA;NA;Vent;NA;2500;3000;2500;3000;Hard;NA;Fauna;Carnivore O
