Genus_species_name;Cell length um;Cell width um;Cell thickness um;Geometrical shape of the cell;Cell surface area um_;Cell biovolume um3;Number of cells per colony;Colony thickness (takes into account mucilage) um;Geometrical shape of the colony;Mobility apparatus;Mobility apparatus: Flagella;Mobility apparatus: Raphe;Colonial;Filament;Heterotrophic;Mixotrophic;Autotrophic
Aphanocapsa_planctonica_colony_10_um;2.5;2.5;2.5;trel;69.372421357192;8.17708333333333;47;10;trel;0;0;0;1;0;0;0;1
Aphanocapsa_planctonica_colony_50_um;2.5;2.5;2.5;trel;69.372421357192;8.17708333333333;8500;50;trel;0;0;0;1;0;0;0;1
Aphanocapsa_sp.;2;2;2;trel;46.598803022074;4.18666666666667;50;15;trel;0;0;0;1;0;0;0;1
Aphanothece_clathrata;2.5;1;1;trel;27.7489685428768;1.30833333333333;4000;100;trel;0;0;0;1;0;0;0;1
Aphanothece_clathrata_var._rosea;2.5;1;1;trel;27.7489685428768;1.30833333333333;4000;100;trel;0;0;0;1;0;0;0;1
Aphanothece_clathrata_var._rosea_colony_10_um;2.5;1;1;trel;27.7489685428768;1.30833333333333;7;10;trel;0;0;0;1;0;0;0;1
Aphanothece_elabens;5;2;2;trel;102.059195259884;10.4666666666667;13;30;trel;0;0;0;1;0;0;0;1
Aphanothece_nidulans_colony_10_um;3;1.5;1.5;trel;48.4533506229627;3.5325;10;10;trel;0;0;0;1;0;0;0;1
Aphanothece_saxicola;2;1;1;trel;23.299401511037;1.04666666666667;300;20;trel;0;0;0;1;0;0;0;1
Aphanothece_sp.;2.5;1;1;trel;27.7489685428768;1.30833333333333;4000;100;trel;0;0;0;1;0;0;0;1
Aphanothece_sp._(single_cell);1.5;1;1;tube;6.28;1.1775;1;NA;NA;0;0;0;1;0;0;0;1
Aphanothece_sp._1;5;1.5;1.5;trel;76.5443964449133;5.8875;10;10;trel;0;0;0;1;0;0;0;1
Asterionella_formosa;65;2;2;box;528;260;1;NA;NA;0;0;0;1;0;0;1;0
Aulacoseira_ambigua;10.5;9;9;tube;423.9;667.6425;1;NA;NA;0;0;0;1;1;0;1;0
Aulacoseira_cf_ambigua;10.5;9;9;tube;423.9;667.6425;1;NA;NA;0;0;0;1;1;0;1;0
Aulacoseira_distans;12;6;6;tube;282.6;339.12;1;NA;NA;0;0;0;1;1;0;1;0
Aulacoseira_granulata;30;8;8;tube;854.08;1507.2;1;NA;NA;0;0;0;1;1;0;1;0
Aulacoseira_granulata_var._angustissima;36;4;4;tube;477.28;452.16;1;NA;NA;0;0;0;1;1;0;1;0
Aulacoseira_granulata_var._angustissima_f._curvata;17;4;4;tube;238.64;213.52;1;NA;NA;0;0;0;1;1;0;1;0
Aulacoseira_islandica_subsp._helvetica;30;12;12;tube;1356.48;3391.2;1;NA;NA;0;0;0;1;1;0;1;0
Aulacoseira_muzzanensis;16.5;6;6;tube;367.38;466.29;1;NA;NA;0;0;0;1;1;0;1;0
Aulacoseira_sp.;18;8;8;tube;552.64;904.32;1;NA;NA;0;0;0;1;1;0;1;0
Aulacoseira_subarctica;9;10.5;10.5;tube;469.8225;778.91625;1;NA;NA;0;0;0;1;1;0;1;0
Aulomonas_purdyi;6.3;4.1;3;ell;226.741605097937;40.5531;1;NA;NA;1;1;0;0;0;1;0;0
Bicoeca_campanulata;37;10;10;ell;7227.7568009388;968.166666666667;1;NA;NA;0;0;0;0;0;1;0;0
Bicoeca_cf_paropsis;8.5;5.5;5;ell;444.127880761952;122.329166666667;1;NA;NA;0;0;0;0;0;1;0;0
Bicoeca_cf._campanulata_petit_morphotype;18;15;15;cone;5296.33585054338;529.875;1;NA;NA;0;0;0;0;0;1;0;0
Bicoeca_cylindrica;20;8;8;ell;3135.61297478754;334.933333333333;1;NA;NA;0;0;0;0;0;1;0;0
Bicoeca_ovata;24;8;8;ell;3757.84371921238;401.92;1;NA;NA;0;0;0;0;0;1;0;0
Bicoeca_planctonica;11.5;13.5;9;ell;1292.26808571503;731.2275;1;NA;NA;0;0;0;0;0;1;0;0
Bicoeca_sp.;25;9;9;ell;4402.65252069081;529.875;1;NA;NA;0;0;0;0;0;1;0;0
Bicoeca_stellata;17;6;6;ell;2002.0009135732;160.14;1;NA;NA;0;0;0;0;0;1;0;0
Bitrichia_chodatii;15;5;5;ell;737.113751795433;196.25;1;NA;NA;0;0;0;0;0;0;1;0
Bitrichia_danubiensis;7.5;7.5;7.5;ell;561.887298264438;220.78125;1;NA;NA;0;0;0;0;0;0;1;0
Bitrichia_ollula;8;8;8;ell;637.801284913898;267.946666666667;1;NA;NA;0;0;0;0;0;0;1;0
Botryococcus_braunii;9;4.5;4.5;ell;402.105522140082;95.3775;32;30;trel;0;0;0;1;0;0;0;1
Brachysira_neoexilis;15;3.5;2.5;rhp;111;65.625;1;NA;NA;1;0;1;0;0;0;1;0
Caloneis_sp.;40;6;5;box;1342.85714285714;840;1;NA;NA;1;0;1;0;0;0;1;0
Calothrix_sp.;4;3.5;3.5;tube;68.000625;30.772;15;3.5;tube;0;0;0;1;1;0;0;1
Calycomonas_pascheri;13;13;13;ell;1664.42227321995;1149.76333333333;1;NA;NA;1;1;0;0;0;0;1;0
Campylodiscus_noricus;112;112;20;box;37831.1111111111;225792;1;NA;NA;1;0;1;0;0;0;1;0
Carteria_multifilis;23;23;23;ell;5178.22358617489;6367.39666666667;1;NA;NA;1;1;0;0;0;0;0;1
Carteria_sp.;15;11;11;ell;1621.65025394995;949.85;1;NA;NA;1;1;0;0;0;0;0;1
Carteria_wisconsinensis;12;7.5;7.5;ell;887.607428321004;353.25;1;NA;NA;1;1;0;0;0;0;0;1
Cell_of_Dinobryon;10;5;5;trel;618.794593830163;104.666666666667;1;NA;NA;1;1;0;1;0;0;1;0
Centric_(Cyclotella_+_Stephanodiscus);6;6;3;box;144;108;1;NA;NA;0;0;0;0;0;0;1;0
Centric_<10um;6;6;3;box;144;108;1;NA;NA;0;0;0;0;0;0;1;0
Centric_>10um;12;12;5;box;528;720;1;NA;NA;0;0;0;0;0;0;1;0
Centric_spp.;6;6;3;box;144;108;1;NA;NA;0;0;0;0;0;0;1;0
