Genus_Species;Genus;Species;comname;sciname;Anaerobic;Browsable;Calcerous;Coarse_Soil;Cold_Strat_Reqd;Fine_Soil;Fire_Tolerance;FrostFree_Days;Grazable;Height20yrs;HeightMax;max_pH;max_Precip;MediumSoil;min_pH;min_Precip;min_Temp;NitrFix;growthHabit;
Leucaena_retusa;Leucaena;retusa;littleleaf leadtree;Leucaena retusa Benth.;0;2;3;1;0;0;0;160;3;3.65764447695684;7.62009266032675;8.5;76.2;1;6.2;35.56;-11.1111111111111;1;Tree;
Leucanthemum_vulgare;Leucanthemum;vulgare;oxeye daisy;Leucanthemum vulgare Lam.;0;1;1;1;0;0;1;130;1;NA;0.396244818336991;7;127;1;5.2;76.2;-33.3333333333333;0;Forb/herb;
Leucothoe_axillaris;Leucothoe;axillaris;coastal doghobble;Leucothoe axillaris (Lam.) D. Don;2;2;1;1;0;1;3;200;1;1.82882223847842;1.98122409168495;7;139.7;1;3.5;101.6;-16.6666666666667;0;Shrub;
Leucothoe_fontanesiana;Leucothoe;fontanesiana;highland doghobble;Leucothoe fontanesiana (Steud.) Sleumer;0;1;0;1;0;0;3;175;NA;1.21921482565228;1.21921482565228;6;152.4;1;4.5;88.9;-25;0;Shrub;
Leymus_angustus;Leymus;angustus;Altai wildrye;Leymus angustus (Trin.) Pilger [excluded];0;3;2;0;0;1;3;90;3;NA;1.18873445501097;8.5;45.72;1;5.9;35.56;-41.6666666666667;0;Graminoid;
Leymus_arenarius;Leymus;arenarius;sand ryegrass;Leymus arenarius (L.) Hochst.;1;1;3;1;1;0;3;180;1;NA;0.975371860521824;8;203.2;1;5;66.04;-36.1111111111111;0;Graminoid;
Leymus_cinereus;Leymus;cinereus;basin wildrye;Leymus cinereus (Scribn. & Merr.) A. Löve;2;1;3;1;0;1;3;90;3;NA;1.52401853206535;9;50.8;1;5.6;20.32;-41.6666666666667;0;Graminoid;
Leymus_condensatus;Leymus;condensatus;giant wildrye;Leymus condensatus (J. Presl) A. Löve;1;3;1;1;0;1;3;90;3;NA;2.59083150451109;7.9;63.5;1;6.5;35.56;-38.8888888888889;0;Graminoid;
Leymus_flavescens;Leymus;flavescens;yellow wildrye;Leymus flavescens (Scribn. & J.G. Sm.) Pilger;0;1;2;1;0;0;3;120;1;NA;0.91441111923921;7.6;76.2;1;6.2;30.48;-27.7777777777778;0;Graminoid;
Leymus_mollis;Leymus;mollis;American dunegrass;Leymus mollis (Trin.) Pilger ssp. mollis;1;1;3;1;0;0;3;150;1;NA;1.21921482565228;8;152.4;1;6;76.2;-13.8888888888889;0;Graminoid;
Leymus_racemosus;Leymus;racemosus;mammoth wildrye;Leymus racemosus (Lam.) Tzvelev;0;1;3;1;0;0;2;120;1;NA;0.91441111923921;9;152.4;1;6;25.4;-36.1111111111111;0;Graminoid;
Leymus_salinus;Leymus;salinus;saline wildrye;Leymus salinus (M.E. Jones) A. Löve;0;1;1;1;0;0;3;100;1;NA;0.701048524750061;7.6;60.96;1;6.2;25.4;-33.3333333333333;0;Graminoid;
Leymus_triticoides;Leymus;triticoides;beardless wildrye;Leymus triticoides (Buckl.) Pilger;3;2;3;1;1;1;3;150;2;NA;0.91441111923921;9;152.4;1;6;17.78;-41.6666666666667;0;Graminoid;
Liatris_pilosa;Liatris;pilosa;shaggy blazing star;Liatris pilosa (Ait.) Willd. var. pilosa;0;NA;2;1;0;1;3;200;NA;NA;1.52401853206535;6.8;165.1;1;5.8;76.2;-13.8888888888889;0;Forb/herb;
Liatris_punctata;Liatris;punctata;dotted blazing star;Liatris punctata Hook.;0;3;1;1;1;1;3;120;3;NA;0.60960741282614;7.8;66.04;1;6;45.72;-41.6666666666667;0;Forb/herb;
Liatris_pycnostachya;Liatris;pycnostachya;prairie blazing star;Liatris pycnostachya Michx.;2;1;3;1;1;1;3;120;1;NA;1.06681297244574;7.8;66.04;1;6;45.72;-30.5555555555556;0;Forb/herb;
Liatris_spicata;Liatris;spicata;dense blazing star;Liatris spicata (L.) Willd.;2;1;1;0;0;1;3;165;1;NA;1.37161667885881;7.5;152.4;1;5.6;88.9;-27.7777777777778;0;Forb/herb;
Liatris_squarrulosa;Liatris;squarrulosa;Appalachian blazing star;Liatris squarrulosa Michx.;2;1;1;0;0;1;3;180;1;NA;0.762009266032675;7.5;152.4;1;5.4;88.9;-19.4444444444444;0;Forb/herb;
Ligustrum_amurense;Ligustrum;amurense;Amur privet;Ligustrum amurense Carr.;1;1;1;0;1;1;1;130;1;3.65764447695684;3.65764447695684;7.5;177.8;1;5.8;86.36;-38.8888888888889;0;Shrub;
Ligustrum_japonicum;Ligustrum;japonicum;Japanese privet;Ligustrum japonicum Thunb.;0;1;1;1;1;1;2;100;1;3.0480370641307;3.0480370641307;6.9;203.2;1;5.5;76.2;-25;0;Tree;
Ligustrum_ovalifolium;Ligustrum;ovalifolium;California privet;Ligustrum ovalifolium Hassk.;1;1;1;0;1;1;1;160;1;4.87685930260912;4.87685930260912;7.7;177.8;1;5.9;86.36;-19.4444444444444;0;Tree;
Ligustrum_vulgare;Ligustrum;vulgare;European privet;Ligustrum vulgare L.;0;1;1;0;1;1;2;130;1;3.65764447695684;3.65764447695684;7.5;127;1;5;45.72;-38.8888888888889;0;Shrub;
Lilaea_scilloides;Lilaea;scilloides;awl-leaf lilaea;Lilaea scilloides (Poir.) Hauman;3;NA;2;0;0;1;3;150;NA;NA;0.243842965130456;9;114.3;1;6;35.56;11.1111111111111;0;Graminoid;
