SpecName;accGenus;accSpecies;PalmTribe;PalmSubfamily;Climbing;Acaulescent;Erect;StemSolitary;StemArmed;LeavesArmed;MaxStemHeight_m;MaxStemDia_cm;UnderstoreyCanopy;MaxLeafNumber;Max_Blade_Length_m;Max_Rachis_Length_m;Max_Petiole_length_m;AverageFruitLength_cm;MinFruitLength_cm;MaxFruitLength_cm;AverageFruitWidth_cm;MinFruitWidth_cm;MaxFruitWidth_cm;FruitSizeCategorical;FruitShape;Conspicuousness
Calamus benkulensis;Calamus;benkulensis;Calameae;Calamoideae;1;0;0;0;0;1;20;1;canopy;NA;1;1;0;0.6;NA;NA;0.4;NA;NA;small;ovoid;NA
Calamus bicolor;Calamus;bicolor;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;0.3;NA;NA;0.2;NA;NA;small;globose;conspicuous
Calamus billitonensis;Calamus;billitonensis;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Calamus bimaniferus;Calamus;bimaniferus;Calameae;Calamoideae;1;0;0;0;0;1;3;1;both;NA;0.4;0.4;NA;0.8;NA;NA;0.8;NA;NA;small;globose;cryptic
Calamus blumei;Calamus;blumei;Calameae;Calamoideae;1;0;0;2;0;1;60;2;canopy;NA;1;0.75;0.28;2.2;NA;NA;1.7;NA;NA;small;ovoid;cryptic
Calamus boniensis;Calamus;boniensis;Calameae;Calamoideae;1;0;0;NA;0;1;35;NA;canopy;NA;1.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Calamus bousigonii;Calamus;bousigonii;Calameae;Calamoideae;1;0;0;2;0;1;20;1.6;canopy;NA;1.4;1;0.45;1.8;NA;NA;1.4;NA;NA;small;ovoid;cryptic
Calamus brandisii;Calamus;brandisii;Calameae;Calamoideae;1;0;0;0;0;1;15;1.5;canopy;NA;NA;NA;NA;1;NA;NA;0.7;NA;NA;small;ovoid;NA
Calamus brassii;Calamus;brassii;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Calamus brevifolius;Calamus;brevifolius;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Calamus burckianus;Calamus;burckianus;Calameae;Calamoideae;1;0;0;0;0;1;25;6;canopy;NA;5;5;NA;0.6;NA;NA;0.4;NA;NA;small;ovoid;NA
Calamus burkillianus;Calamus;burkillianus;Calameae;Calamoideae;1;0;0;0;0;1;20;4;canopy;NA;1.5;1.1;0.45;1.2;NA;NA;0.6;NA;NA;small;ovoid;cryptic
Calamus buroensis;Calamus;buroensis;Calameae;Calamoideae;1;0;0;NA;0;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Calamus caesius;Calamus;caesius;Calameae;Calamoideae;1;0;0;0;0;1;100;2;canopy;NA;1.5;1.5;NA;1.5;NA;NA;1;NA;NA;small;ovoid;cryptic
