SpecName;accGenus;accSpecies;PalmTribe;PalmSubfamily;Climbing;Acaulescent;Erect;StemSolitary;StemArmed;LeavesArmed;MaxStemHeight_m;MaxStemDia_cm;UnderstoreyCanopy;MaxLeafNumber;Max_Blade_Length_m;Max_Rachis_Length_m;Max_Petiole_length_m;AverageFruitLength_cm;MinFruitLength_cm;MaxFruitLength_cm;AverageFruitWidth_cm;MinFruitWidth_cm;MaxFruitWidth_cm;FruitSizeCategorical;FruitShape;Conspicuousness
Daemonorops calapparia;Daemonorops;calapparia;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;1.72;NA;NA;1.8;NA;NA;small;NA;NA
Daemonorops calicarpa;Daemonorops;calicarpa;Calameae;Calamoideae;0;1;0;0;0;1;0;NA;understorey;7;5;4;2.1;1.7;NA;NA;1.65;NA;NA;small;elongate;cryptic
Daemonorops clemensiana;Daemonorops;clemensiana;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Daemonorops collarifera;Daemonorops;collarifera;Calameae;Calamoideae;1;0;0;0;1;1;7;3.5;canopy;NA;2.5;2.5;0.55;1.675;1.35;2;1.675;1.35;2;small;ovoid;cryptic
Daemonorops confusa;Daemonorops;confusa;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;1.6;NA;NA;NA;NA;NA
Daemonorops crinita;Daemonorops;crinita;Calameae;Calamoideae;1;0;0;0;1;1;20;0.8;canopy;NA;1.23;NA;0.22;1.4;1.7;NA;1.4;NA;NA;small;globose;conspicuous
Daemonorops cristata;Daemonorops;cristata;Calameae;Calamoideae;1;0;0;0;1;1;10;3;canopy;NA;2.5;2.5;0.33;1.8;NA;NA;1.4;NA;NA;small;NA;cryptic
Daemonorops curranii;Daemonorops;curranii;Calameae;Calamoideae;1;0;0;0;0;1;20;3.5;canopy;NA;3.5;3.5;0.55;1.3;1.2;NA;NA;NA;NA;small;globose;cryptic
Daemonorops depressiuscula;Daemonorops;depressiuscula;Calameae;Calamoideae;1;0;0;0;1;1;10;3.5;canopy;NA;2.8;2.8;0.45;1.225;0.95;1.5;1.35;1;1.7;small;ovoid;conspicuous
Daemonorops didymophylla;Daemonorops;didymophylla;Calameae;Calamoideae;1;0;0;2;0;1;20;3.5;canopy;NA;3;3;NA;2.5;NA;2.5;2;NA;NA;small;NA;cryptic
Daemonorops draco;Daemonorops;draco;Calameae;Calamoideae;1;0;0;0;1;1;15;4;canopy;NA;2.5;2.5;0.33;2.5;NA;NA;2;NA;NA;small;globose;conspicuous
Daemonorops dracunculus;Daemonorops;dracunculus;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Daemonorops dransfieldii;Daemonorops;dransfieldii;Calameae;Calamoideae;1;0;0;0;NA;1;6;2.5;canopy;NA;3;3;NA;2.5;NA;NA;1;NA;NA;small;ovoid;cryptic
Daemonorops elongata;Daemonorops;elongata;Calameae;Calamoideae;2;0;2;0;1;1;15;2.7;canopy;NA;3;3;1.85;0.75;NA;NA;0.7;NA;NA;small;ovoid;cryptic
Daemonorops fissa;Daemonorops;fissa;Calameae;Calamoideae;1;0;0;0;1;1;30;3.5;canopy;NA;3.9;3.5;0.5;1.7;NA;NA;1.7;NA;NA;small;elongate;cryptic
Daemonorops fissilis;Daemonorops;fissilis;Calameae;Calamoideae;1;0;0;0;0;1;10;1;canopy;NA;NA;0.3;0.5;NA;NA;NA;NA;NA;NA;NA;NA;NA
Daemonorops forbesii;Daemonorops;forbesii;Calameae;Calamoideae;1;0;0;0;1;1;6;2;canopy;NA;1.5;NA;0.28;1.85;NA;NA;1.8;NA;NA;small;ovoid;NA
Daemonorops formicaria;Daemonorops;formicaria;Calameae;Calamoideae;1;0;0;2;1;1;20;2;canopy;NA;1.5;1.1;0.33;1.15;0.9;1.4;0.8;0.8;1.4;small;NA;cryptic
Daemonorops geniculata;Daemonorops;geniculata;Calameae;Calamoideae;1;0;0;2;0;1;20;4.5;canopy;NA;5;5;0.8;2.2;NA;NA;2.2;NA;NA;small;ovoid;cryptic
Daemonorops gracilipes;Daemonorops;gracilipes;Calameae;Calamoideae;2;0;2;0;1;1;3;2.5;understorey;NA;2;NA;0.65;NA;NA;NA;NA;NA;NA;NA;ovoid;cryptic
Daemonorops gracilis;Daemonorops;gracilis;Calameae;Calamoideae;1;0;0;0;1;1;NA;1;canopy;NA;1.3;NA;0.45;0.65;NA;NA;NA;NA;NA;small;ovoid;NA
Daemonorops grandis;Daemonorops;grandis;Calameae;Calamoideae;1;0;0;0;0;1;20;5;canopy;7;3.66;3.1;2.1;2.5;NA;NA;2.5;NA;NA;small;NA;cryptic
Daemonorops hirsuta;Daemonorops;hirsuta;Calameae;Calamoideae;1;0;0;0;1;1;10;1.3;canopy;7;1.35;1.35;NA;1.5;NA;NA;1;NA;NA;small;NA;cryptic
Daemonorops horrida;Daemonorops;horrida;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Daemonorops ingens;Daemonorops;ingens;Calameae;Calamoideae;0;1;0;2;1;1;1;30;understorey;NA;6;NA;1.9;4.5;NA;NA;2;NA;NA;large;ovoid;cryptic
Daemonorops jenkinsiana;Daemonorops;jenkinsiana;Calameae;Calamoideae;1;0;0;0;0;1;25;6;canopy;20;3.2;3;NA;2;NA;NA;1.9;1.8;2;small;globose;cryptic
Daemonorops korthalsii;Daemonorops;korthalsii;Calameae;Calamoideae;1;0;0;2;1;1;15;3;canopy;NA;5.5;5;0.92;1.5;NA;NA;1;NA;NA;small;ovoid;cryptic
Daemonorops kunstleri;Daemonorops;kunstleri;Calameae;Calamoideae;2;0;2;0;0;1;15;4;canopy;NA;3;2;NA;1.8;NA;NA;1.8;NA;NA;small;NA;cryptic
Daemonorops kurziana;Daemonorops;kurziana;Calameae;Calamoideae;1;0;0;0;0;1;25;6;canopy;NA;2.5;2.5;NA;2;NA;NA;2;NA;NA;small;NA;cryptic
Daemonorops lamprolepis;Daemonorops;lamprolepis;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Daemonorops leptopus;Daemonorops;leptopus;Calameae;Calamoideae;1;0;0;0;0;1;20;6;canopy;NA;5;2.5;NA;1.8;NA;NA;1;NA;NA;small;ovoid;cryptic
Daemonorops lewisiana;Daemonorops;lewisiana;Calameae;Calamoideae;1;0;0;0;0;1;3;7;both;NA;2.7;2.7;1.9;2;NA;NA;2;NA;NA;small;ovoid;cryptic
Daemonorops loheriana;Daemonorops;loheriana;Calameae;Calamoideae;1;0;0;0;1;1;20;2;canopy;NA;2.45;NA;0.97;NA;NA;NA;NA;NA;NA;NA;globose;NA
Daemonorops longipes;Daemonorops;longipes;Calameae;Calamoideae;2;0;2;2;1;1;5;5;understorey;NA;4.5;4;0.55;2.4;2.3;2.5;1.75;1.7;1.8;small;globose;cryptic
Daemonorops longispatha;Daemonorops;longispatha;Calameae;Calamoideae;1;0;0;0;1;1;22;5;canopy;NA;3;NA;0.55;1.3;NA;NA;1.1;NA;NA;small;NA;cryptic
Daemonorops longispinosa;Daemonorops;longispinosa;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Daemonorops longistipes;Daemonorops;longistipes;Calameae;Calamoideae;2;0;2;0;1;1;10;3;canopy;NA;2.5;2.5;0.75;1.5;NA;NA;1.3;NA;NA;small;ovoid;cryptic
Daemonorops macrophylla;Daemonorops;macrophylla;Calameae;Calamoideae;1;0;0;0;0;1;20;3;canopy;NA;2.25;1.75;0.55;2.1;NA;NA;1.5;NA;NA;small;NA;cryptic
Daemonorops macroptera;Daemonorops;macroptera;Calameae;Calamoideae;1;0;0;2;1;1;15;3;canopy;NA;NA;NA;0.33;1.5;NA;NA;1.2;NA;NA;small;elongate;conspicuous
Daemonorops maculata;Daemonorops;maculata;Calameae;Calamoideae;1;0;0;1;1;1;5;2;canopy;NA;2.02;2;NA;2;NA;NA;1.6;NA;NA;small;ovoid;cryptic
Daemonorops manii;Daemonorops;manii;Calameae;Calamoideae;1;0;0;0;0;1;30;7;canopy;NA;3;3;NA;1;NA;NA;1;NA;NA;small;ovoid;cryptic
Daemonorops megalocarpa;Daemonorops;megalocarpa;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Daemonorops melanochaetes;Daemonorops;melanochaetes;Calameae;Calamoideae;1;0;0;0;0;1;30;7;canopy;NA;3;2.7;0.28;1.35;1;1.7;1.35;1;1.7;small;NA;cryptic
Daemonorops micracantha;Daemonorops;micracantha;Calameae;Calamoideae;1;0;0;0;1;1;20;2.5;canopy;NA;2.2;2.2;0.55;2.25;2;2.5;1.9;1.8;2;small;ovoid;NA
Daemonorops microcarpa;Daemonorops;microcarpa;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Daemonorops microstachys;Daemonorops;microstachys;Calameae;Calamoideae;0;1;0;0;1;1;1;2;understorey;12;2;2;NA;1;NA;NA;0.8;NA;NA;small;ovoid;cryptic
Daemonorops mirabilis;Daemonorops;mirabilis;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Daemonorops mogeana;Daemonorops;mogeana;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;2;NA;NA;1.54;NA;NA;small;NA;cryptic
Daemonorops mollis;Daemonorops;mollis;Calameae;Calamoideae;1;0;0;0;1;1;10;4;canopy;NA;2.5;NA;0.53;1.1;NA;NA;1;NA;NA;small;ovoid;conspicuous
Daemonorops mollispina;Daemonorops;mollispina;Calameae;Calamoideae;1;0;0;0;0;1;8;5;canopy;NA;2;2;NA;1.5;NA;NA;1.5;NA;NA;small;NA;cryptic
Daemonorops monticola;Daemonorops;monticola;Calameae;Calamoideae;1;0;0;0;0;1;5;4;canopy;NA;3;3;0.8;1.5;NA;NA;1.5;NA;NA;small;globose;cryptic
Daemonorops nigra;Daemonorops;nigra;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Daemonorops nuichuaensis;Daemonorops;nuichuaensis;Calameae;Calamoideae;0;0;1;1;NA;1;5;3;canopy;NA;NA;1;0.6;2;NA;NA;2;NA;NA;small;globose;cryptic
Daemonorops oblata;Daemonorops;oblata;Calameae;Calamoideae;1;0;0;0;1;1;10;2;canopy;NA;0.9;3;0.55;2;NA;NA;2.65;2.5;2.8;small;ovoid;cryptic
Daemonorops oblonga;Daemonorops;oblonga;Calameae;Calamoideae;1;0;0;0;0;1;12;4.5;canopy;NA;3.5;NA;0.59;2.1;NA;NA;0.8;NA;NA;small;ovoid;cryptic
Daemonorops ochrolepis;Daemonorops;ochrolepis;Calameae;Calamoideae;1;0;0;2;1;1;15;1.5;canopy;NA;2;NA;0.4;1.6;NA;NA;1.5;NA;NA;small;NA;NA
Daemonorops ocreata;Daemonorops;ocreata;Calameae;Calamoideae;1;0;0;0;NA;1;12;3.2;canopy;NA;NA;1;0.6;1.7;NA;NA;1.7;NA;NA;small;globose;cryptic
Daemonorops oligolepis;Daemonorops;oligolepis;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;1.9;NA;2;NA;NA;1.7;NA;NA;small;globose;NA
Daemonorops oligophylla;Daemonorops;oligophylla;Calameae;Calamoideae;1;0;0;0;1;1;NA;1.2;canopy;NA;0.9;0.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Daemonorops oxycarpa;Daemonorops;oxycarpa;Calameae;Calamoideae;1;0;0;0;1;1;15;3;canopy;NA;3;2.6;0.45;1.5;NA;NA;1;NA;NA;small;ovoid;cryptic
Daemonorops pachyrostris;Daemonorops;pachyrostris;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Daemonorops palembanica;Daemonorops;palembanica;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Daemonorops pannosa;Daemonorops;pannosa;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;1.45;NA;NA;1.2;NA;NA;small;ovoid;NA
Daemonorops pedicellaris;Daemonorops;pedicellaris;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;1.1;NA;NA;0.8;NA;NA;small;NA;NA
Daemonorops periacantha;Daemonorops;periacantha;Calameae;Calamoideae;1;0;0;2;1;1;10;8;canopy;NA;3;3;0.33;2.2;NA;NA;2.15;2;2.3;small;ovoid;cryptic
Daemonorops plagiocycla;Daemonorops;plagiocycla;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Daemonorops poilanei;Daemonorops;poilanei;Calameae;Calamoideae;1;0;0;2;0;1;20;4;canopy;NA;3;3;0.65;2.5;NA;NA;2.5;NA;NA;small;globose;cryptic
Daemonorops polita;Daemonorops;polita;Calameae;Calamoideae;1;0;0;1;1;1;15;3.5;canopy;NA;3;NA;NA;1.2;NA;NA;1.3;NA;NA;small;NA;NA
Daemonorops pumila;Daemonorops;pumila;Calameae;Calamoideae;0;0;1;0;NA;1;NA;1.65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Daemonorops rarispinosa;Daemonorops;rarispinosa;Calameae;Calamoideae;1;0;0;0;0;1;20;2.5;canopy;NA;1;1;NA;1.3;NA;NA;1.3;NA;NA;small;ovoid;conspicuous
Daemonorops riedeliana;Daemonorops;riedeliana;Calameae;Calamoideae;1;0;0;2;1;1;10;6;canopy;NA;2.5;2.5;0.17;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Daemonorops robusta;Daemonorops;robusta;Calameae;Calamoideae;1;0;0;2;1;1;7;4;canopy;NA;4.18;NA;0.45;1.9;NA;NA;1.7;NA;NA;small;elongate;cryptic
Daemonorops rubra;Daemonorops;rubra;Calameae;Calamoideae;1;0;0;0;1;1;10;5;canopy;NA;3.4;3;0.45;2.5;NA;NA;2.5;NA;NA;small;elongate;conspicuous
Daemonorops ruptilis;Daemonorops;ruptilis;Calameae;Calamoideae;2;2;0;0;1;1;10;3;canopy;NA;4;NA;NA;2.2;NA;NA;1.4;NA;NA;small;globose;cryptic
Daemonorops sabut;Daemonorops;sabut;Calameae;Calamoideae;1;0;0;0;0;1;40;3;canopy;NA;3;3;0.55;1.6;NA;NA;1.2;NA;NA;small;globose;cryptic
Daemonorops sarasinorum;Daemonorops;sarasinorum;Calameae;Calamoideae;1;0;0;2;1;1;35;8;canopy;NA;4;4;NA;1.6;NA;NA;1;NA;NA;small;globose;cryptic
Daemonorops scapigera;Daemonorops;scapigera;Calameae;Calamoideae;0;2;2;2;1;1;3.5;4;understorey;15;2;2;0.33;2.6;2.2;3;2.45;1.9;3;small;ovoid;cryptic
Daemonorops schlechteri;Daemonorops;schlechteri;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;globose;NA
Daemonorops sekundurensis;Daemonorops;sekundurensis;Calameae;Calamoideae;1;0;0;0;NA;1;2;NA;both;NA;3;3;NA;1.5;NA;NA;1;NA;NA;small;globose;cryptic
Daemonorops sepal;Daemonorops;sepal;Calameae;Calamoideae;1;0;0;0;0;1;15;6;canopy;NA;3.7;3.4;0.33;3;NA;NA;2.75;2.5;3;small;globose;cryptic
Daemonorops serpentina;Daemonorops;serpentina;Calameae;Calamoideae;0;1;0;0;1;1;0.2;4;understorey;NA;2.2;2.2;0.55;2.5;NA;NA;2;NA;NA;small;NA;cryptic
Daemonorops siberutensis;Daemonorops;siberutensis;Calameae;Calamoideae;1;0;0;0;NA;1;5;1.7;canopy;NA;1;1;NA;2;NA;NA;1.2;NA;NA;small;globose;cryptic
Daemonorops singalana;Daemonorops;singalana;Calameae;Calamoideae;1;0;0;0;1;1;10;4;canopy;NA;2.75;NA;0.55;1.6;1.2;2;1.55;1.1;2;small;globose;cryptic
Daemonorops sparsiflora;Daemonorops;sparsiflora;Calameae;Calamoideae;1;0;0;0;1;1;20;2.7;canopy;NA;3.2;3;0.22;1.1;NA;NA;1;NA;NA;small;NA;cryptic
Daemonorops spectabilis;Daemonorops;spectabilis;Calameae;Calamoideae;0;0;1;2;1;1;2;6;understorey;NA;4;4;2.7;3.5;NA;NA;3;NA;NA;small;ovoid;cryptic
Daemonorops stenophylla;Daemonorops;stenophylla;Calameae;Calamoideae;1;0;0;0;1;1;30;2.5;canopy;NA;2.5;NA;0.33;2.6;NA;NA;2;NA;NA;small;globose;NA
Daemonorops takanensis;Daemonorops;takanensis;Calameae;Calamoideae;1;0;0;NA;NA;1;NA;NA;canopy;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Daemonorops trichroa;Daemonorops;trichroa;Calameae;Calamoideae;1;0;0;0;1;1;15;NA;canopy;NA;1.4;NA;NA;1.3;NA;NA;1.5;NA;NA;small;NA;NA
Daemonorops unijuga;Daemonorops;unijuga;Calameae;Calamoideae;1;0;0;0;1;1;20;0.9;canopy;NA;0.7;0.7;0.07;3;NA;NA;2;NA;NA;small;globose;cryptic
Daemonorops urdanetana;Daemonorops;urdanetana;Calameae;Calamoideae;1;0;0;NA;1;1;NA;NA;canopy;NA;1.8;NA;NA;1.4;NA;NA;1.4;NA;NA;small;elongate;NA
Daemonorops uschdraweitiana;Daemonorops;uschdraweitiana;Calameae;Calamoideae;1;0;0;0;1;1;10;3.5;canopy;NA;2.5;NA;0.33;NA;NA;NA;NA;NA;NA;NA;ovoid;NA
Daemonorops verticillaris;Daemonorops;verticillaris;Calameae;Calamoideae;1;0;0;2;0;1;15;5;canopy;NA;3.4;3;0.29;1.5;NA;NA;1.5;NA;NA;small;globose;cryptic
Daemonorops wrightmyoensis;Daemonorops;wrightmyoensis;Calameae;Calamoideae;1;0;0;0;0;1;20;4.5;canopy;NA;2;2;NA;1.5;NA;NA;1;NA;NA;small;elongate;cryptic
Deckenia nobilis;Deckenia;nobilis;Areceae;Arecoideae;0;0;1;1;1;1;40;35;canopy;NA;2.5;NA;0.33;1.2;NA;NA;0.4;NA;NA;small;ovoid;cryptic
Desmoncus chinantlensis;Desmoncus;chinantlensis;Cocoseae;Arecoideae;1;0;0;2;0;1;20;5;canopy;NA;1.28;1.28;0.02;1.52;1.21;1.86;1.27;1.03;1.62;small;globose;NA
Desmoncus cirrhifer;Desmoncus;cirrhifer;Cocoseae;Arecoideae;1;0;0;0;0;1;20;3;canopy;NA;NA;1.17;0.11;1.823;1.43;2.09;1.341666667;0.98;1.57;small;globose;conspicuous
Desmoncus costaricensis;Desmoncus;costaricensis;Cocoseae;Arecoideae;1;0;0;0;0;1;6;2.3;canopy;NA;NA;0.8;0.16;1.38;1.27;1.45;1.13;0.91;1.38;small;ovoid;NA
Desmoncus giganteus;Desmoncus;giganteus;Cocoseae;Arecoideae;1;0;0;1;0;1;50;5;canopy;50;2.47;2.15;0.35;3.62;2.15;4.26;1.66;1.27;1.83;small;ovoid;conspicuous
Desmoncus horridus;Desmoncus;horridus;Cocoseae;Arecoideae;1;0;0;0;0;1;15;4.8;canopy;NA;NA;1.23;0.11;1.54;1.06;2.11;0.953421053;0.74;1.24;small;ellipsoid;NA
Desmoncus interjectus;Desmoncus;interjectus;Cocoseae;Arecoideae;1;0;0;NA;0;1;6;2.8;canopy;NA;NA;1.25;0.1;1.4175;1.35;1.51;1.0725;0.98;1.23;small;ellipsoid;NA
Desmoncus kunarius;Desmoncus;kunarius;Cocoseae;Arecoideae;1;0;0;NA;0;1;NA;3.6;canopy;NA;NA;1;0.06;2.513333333;2.39;2.74;2.166666667;2.01;2.41;small;ovoid;NA
Desmoncus latisectus;Desmoncus;latisectus;Cocoseae;Arecoideae;1;0;0;NA;0;1;4;1.4;understorey;NA;NA;0.4;0.03;1.13;NA;NA;0.9;NA;NA;small;globose;NA
Desmoncus leptoclonos;Desmoncus;leptoclonos;Cocoseae;Arecoideae;1;0;0;0;0;1;10;1.9;canopy;NA;NA;0.77;0.06;1.225;1.09;1.39;0.8;0.7;0.94;small;ellipsoid;NA
Desmoncus loretanus;Desmoncus;loretanus;Cocoseae;Arecoideae;1;0;0;NA;0;1;NA;1.6;canopy;NA;NA;0.46;0.02;1.30375;1.05;1.59;0.795;0.7;0.96;small;ellipsoid;NA
Desmoncus madrensis;Desmoncus;madrensis;Cocoseae;Arecoideae;1;0;0;NA;0;1;6.5;0.9;canopy;NA;NA;0.35;0.09;1.04;0.93;1.14;0.67625;0.61;0.72;small;ellipsoid;NA
Desmoncus mitis;Desmoncus;mitis;Cocoseae;Arecoideae;1;0;0;2;0;1;10;1.1;canopy;30;0.94;0.8;0.16;1.23;0.89;1.57;0.7;0.55;1.09;small;ellipsoid;conspicuous
Desmoncus moorei;Desmoncus;moorei;Cocoseae;Arecoideae;1;0;0;NA;0;1;32.5;3.4;canopy;NA;NA;1.13;0.04;1.263;1.11;1.43;1.141;1.02;1.3;small;globose;NA
Desmoncus myriacanthos;Desmoncus;myriacanthos;Cocoseae;Arecoideae;1;0;0;NA;0;1;9;3.7;canopy;NA;NA;1.31;0.03;1.512941176;1.26;2.1;0.818823529;0.7;1.03;small;ellipsoid;NA
Desmoncus obovoideus;Desmoncus;obovoideus;Cocoseae;Arecoideae;1;0;0;NA;0;1;7;2;canopy;NA;NA;NA;0.04;1.58;1.4;1.79;1.42;1.28;1.63;small;ovoid;NA
Desmoncus orthacanthos;Desmoncus;orthacanthos;Cocoseae;Arecoideae;1;0;0;0;0;1;20;3;canopy;50;2.25;2.07;0.2;1.49;1.14;1.84;1.42;0.84;2;small;globose;conspicuous
Desmoncus osensis;Desmoncus;osensis;Cocoseae;Arecoideae;1;0;0;NA;0;1;NA;2.6;canopy;NA;NA;0.85;0.04;1.512;1.39;1.73;1.364;1.1;1.59;small;ovoid;conspicuous
Desmoncus parvulus;Desmoncus;parvulus;Cocoseae;Arecoideae;1;0;0;NA;0;1;10;1.8;canopy;NA;NA;0.47;0.14;1.107142857;0.89;1.43;0.935714286;0.71;1.12;small;globose;NA
Desmoncus polyacanthos;Desmoncus;polyacanthos;Cocoseae;Arecoideae;1;0;0;2;0;1;37;3.5;canopy;25;1.91;1.73;0.2;1.694362745;1.12;2.35;1.193598039;0.79;1.79;small;globose;conspicuous
Desmoncus prunifer;Desmoncus;prunifer;Cocoseae;Arecoideae;1;0;0;NA;0;1;NA;0.8;canopy;NA;NA;0.46;0.05;NA;NA;NA;NA;NA;NA;NA;NA;NA
Desmoncus pumilus;Desmoncus;pumilus;Cocoseae;Arecoideae;1;0;0;NA;0;1;5;0.7;canopy;NA;NA;0.42;0.08;1.002;0.82;1.16;0.674;0.5;0.85;small;ellipsoid;NA
Desmoncus setosus;Desmoncus;setosus;Cocoseae;Arecoideae;1;0;0;NA;0;1;15;1.1;canopy;NA;NA;0.67;0.04;1.193333333;1.12;1.28;0.753333333;0.61;0.85;small;globose;NA
Desmoncus stans;Desmoncus;stans;Cocoseae;Arecoideae;1;0;0;0;0;1;2.5;1;both;7;0.405;0.28;0.15;1.33;1.28;1.37;1.07875;0.95;1.11;small;globose;conspicuous
Desmoncus vacivus;Desmoncus;vacivus;Cocoseae;Arecoideae;1;0;0;NA;0;1;10;0.9;canopy;NA;NA;0.46;0.11;2.092352941;1.84;2.39;1.331176471;1.1;1.53;small;globose;NA
Dictyocaryum fuscum;Dictyocaryum;fuscum;Irarteeae;Arecoideae;0;0;1;1;0;0;22;20;canopy;6;2.7;2.5;0.22;3.25;3;3.5;2.5;2;3;small;NA;conspicuous
Dictyocaryum lamarckianum;Dictyocaryum;lamarckianum;Irarteeae;Arecoideae;0;0;1;1;1;0;25;45;canopy;6;6;5;NA;2.65;2.5;2.8;2.65;2.3;3;small;ovoid;conspicuous
Dictyocaryum ptarianum;Dictyocaryum;ptarianum;Irarteeae;Arecoideae;0;0;1;2;0;0;20;20;canopy;5;3.5;3;0.55;3.25;3;3.5;2.75;2;3.5;small;globose;conspicuous
Dictyosperma album;Dictyosperma;album;Areceae;Arecoideae;0;0;1;1;0;0;15;20;canopy;15;4.14;4.14;NA;1.25;1;1.5;1.05;1;1.1;small;globose;cryptic
Dransfieldia micrantha;Dransfieldia;micrantha;Areceae;Arecoideae;0;0;1;2;0;0;10;5;canopy;8;2;1.8;0.81;1.545;1.5;1.59;0.85;0.76;0.95;small;globose;cryptic
Drymophloeus litigiosus;Drymophloeus;litigiosus;Areceae;Arecoideae;0;0;1;2;0;0;5;3;understorey;9;1.6;1.6;0.48;1.7;1.36;2.34;1.05;0.58;1.3;small;globose;conspicuous
Drymophloeus oliviformis;Drymophloeus;oliviformis;Areceae;Arecoideae;0;0;1;1;0;0;4;7;understorey;7;1.4;1.1;0.61;1.7;1.06;2.35;0.8;0.55;1.19;small;pyramidal;conspicuous
Drymophloeus whitmeeanus;Drymophloeus;whitmeeanus;Areceae;Arecoideae;0;0;1;NA;0;0;NA;NA;NA;NA;NA;NA;NA;3.7;NA;NA;1.87;NA;NA;small;NA;conspicuous
Dypsis acaulis;Dypsis;acaulis;Areceae;Arecoideae;0;1;0;1;0;0;0.05;1.8;understorey;6;0.44;0.18;0.29;2;NA;NA;0.6;NA;NA;small;ovoid;conspicuous
Dypsis acuminum;Dypsis;acuminum;Areceae;Arecoideae;0;0;1;1;0;0;6;8;canopy;6;1.5;1.34;0.18;0.95;0.9;1;0.65;0.6;0.7;small;NA;conspicuous
Dypsis albofarinosa;Dypsis;albofarinosa;Areceae;Arecoideae;0;0;1;0;0;0;5;5;understorey;6;1.35;1.35;NA;2;NA;NA;1.5;NA;NA;small;NA;NA
Dypsis ambanjae;Dypsis;ambanjae;Areceae;Arecoideae;0;0;1;0;0;0;5;6;understorey;NA;1;1;NA;1.25;1.1;1.4;0.95;0.8;1.1;small;NA;NA
Dypsis ambilaensis;Dypsis;ambilaensis;Areceae;Arecoideae;0;0;1;0;0;0;3;0.8;understorey;8;0.4;0.33;0.09;1.25;1;1.5;0.475;0.45;0.5;small;NA;conspicuous
Dypsis ambositrae;Dypsis;ambositrae;Areceae;Arecoideae;0;0;1;2;0;0;7;12;canopy;11;3.1;2.8;0.33;1.4;NA;NA;1.275;1.05;1.5;small;ovoid;NA
Dypsis andapae;Dypsis;andapae;Areceae;Arecoideae;0;0;1;0;0;0;1.2;1.2;understorey;10;0.48;0.22;0.29;1.2;1.1;1.3;0.725;0.7;0.75;small;ovoid;conspicuous
Dypsis andilamenensis;Dypsis;andilamenensis;Areceae;Arecoideae;1;0;0;0;0;0;20;1.5;canopy;8;NA;1.4;0;0.8;0.72;0.88;0.445;0.38;0.51;small;ellipsoid;cryptic
Dypsis andrianatonga;Dypsis;andrianatonga;Areceae;Arecoideae;0;0;1;0;0;0;9;2.5;canopy;5;1.6;1.28;0.35;1.45;0.9;2;1.1;0.7;1.5;small;ovoid;cryptic
