Sp;Lmx;Linf;K;Yrs;Mort;Life;Gen;AgeM;Lm;Lopt;Res;Anim;Plan;Both;Trop
sp152;45;46.9;0.22;0.68;0.48;13;3.8;3.1;26.5;29.3;3;1;0;0;2.6
sp153;9;9.6;0.75;0.29;1.77;3.7;1.6;1.2;6.4;5.6;4;0;1;0;2
sp154;9.25;9.25;0.67;0.34;1.64;4.22;1.78;1.37;9;6;4;1;0;0;3.4
sp155;9;5.9;0.53;0.48;1.54;5.2;2.3;1.8;4.1;3.4;4;0;0;1;2.4
sp156;11;11.7;0.62;0.34;1.46;4.5;1.8;1.4;7.6;6.9;4;0;0;1;2.7
sp157;10;10.7;0.62;0.35;1.74;4.5;1.8;1.4;7;6.3;4;1;0;0;2.7
sp158;46;47.9;0.21;0.71;0.46;13.6;4;3.2;27;30;3;1;0;0;2.6
sp159;7.5;8;0.74;0.31;1.74;3.7;1.6;1.2;5.4;4.6;4;0;1;0;2
sp160;38;39.7;0.26;0.6;0.57;10.9;3.1;2.7;22.8;24.7;3;1;0;0;2.7
sp161;17;18;0.42;0.45;0.99;6.7;2.6;1.9;11.2;10.8;4;0;0;1;2.8
sp164;47;48.9;0.47;0.3;0.84;6.1;1.8;1.5;27.5;30.6;4;1;0;0;4
sp166;30;31.5;0.61;0.26;1.13;4.7;1.3;1.2;18.5;19.4;4;1;0;0;3.3
sp167;38;45.5;0.32;0.46;0.67;8.9;2.6;2.2;25.8;28.4;4;1;0;0;4.4
sp169;25;26.3;0.77;0.22;1.41;3.7;1;1;15.7;16.1;4;1;0;0;3.9
sp170;32;33.5;0.61;0.26;0.93;4.7;1.3;1.2;19.6;20.7;4;1;0;0;3.6
sp173;90;92.7;0.32;0.32;0.56;9.1;2.9;2;48.8;59.7;4;0;1;0;2
sp174;40;17.6;0.99;0.19;1.91;2.8;1.1;0.8;11;10.7;4;0;1;0;2
sp178;30;16.3;3.3;0.05;5.04;0.9;0.3;0.2;10.2;10.8;4;0;0;1;2.8
sp180;42;32.7;1.66;0.09;2.56;1.7;0.6;0.4;19.1;21.6;4;0;1;0;2.7
sp181;53;55.1;0.39;0.36;0.71;7.3;2.2;1.7;30.6;34.7;4;1;0;0;2.4
sp182;38;39.7;0.53;0.28;0.97;5.4;1.6;1.3;22.8;24.7;4;1;0;0;3
sp183;40;41.7;0.51;0.29;0.93;5.6;1.6;1.4;23.8;26;4;0;0;1;2
sp184;30;31.5;0.66;0.24;1.2;4.3;1.2;1.1;18.5;19.4;4;0;1;0;2.7
sp185;25;26.3;0.53;0.32;1.07;5.3;1.5;1.4;15.7;16.1;4;1;0;0;3.6
sp186;25;26.3;0.53;0.32;1.07;5.3;1.5;1.4;15.7;16.1;4;1;0;0;3.7
sp187;25;26.3;1.33;0.12;2.27;2.1;0.6;0.6;15.7;16.1;4;1;0;0;3.8
sp188;28;29.4;0.48;0.34;0.97;5.9;1.6;1.5;17.4;18;4;1;0;0;3.6
sp189;38;39.7;0.36;0.42;0.72;7.9;2.3;2;22.8;24.7;4;1;0;0;3.5
sp191;10;10.7;1.24;0.17;2.51;2.2;0.9;0.7;7;6.3;4;1;0;0;3.6
sp192;25;26.3;0.53;0.32;1.07;5.3;1.5;1.4;15.7;16.1;4;1;0;0;3.6
sp193;25;26.3;0.53;0.32;1.07;5.3;1.5;1.4;15.7;16.1;4;1;0;0;3.5
sp194;22;23.2;0.6;0.29;1.21;4.7;1.7;1.3;14.1;14.1;4;1;0;0;3.4
sp196;14;13.5;1.2;0.16;2.42;2.3;0.9;0.7;8.6;8.1;4;1;0;0;3.6
sp197;15;15.9;0.54;0.36;1.23;5.2;2;1.5;10;9.5;4;1;0;0;3.2
sp198;14;17.7;1.1;0.17;2.21;2.6;1;0.7;11;10.6;4;0;1;0;2.2
sp199;15;15.9;0.54;0.36;1.23;5.2;2;1.5;10;9.5;4;1;0;0;3.1
sp200;10;10.7;1.24;0.17;2.51;2.2;0.9;0.7;7;6.3;4;1;0;0;3.5
sp202;8;8.6;1.52;0.15;3.08;1.8;0.8;0.6;5.8;5;4;1;0;0;3.5
sp203;20;18.8;1;0.18;1.95;2.8;1.1;0.8;11.6;11.4;4;1;0;0;3.5
sp205;45;46.9;0.19;0.79;0.36;15;4.4;3.6;26.5;29.3;3;1;0;0;3.5
sp206;25;20.5;0.9;0.2;1.8;3.1;1.2;0.9;12.6;12.4;4;1;0;0;3.6
