Species Name;Gram;Trait 1;Trait 2;Trait 3;Trait 4;Trait 5;Trait 6;Trait 7;Trait 8;Trait 9;Trait 10;Trait 11;Trait 12;Trait 13;Trait 14;Trait 15;Trait 16;Trait 17;Trait 18;Trait 19;Trait 20;Trait 21;Trait 22;Trait 23;Trait 24;Trait 25;Trait 26;Trait 27;Trait 28;Trait 29;Trait 30;Trait 31;Trait 32;Trait 33;Trait 34;Trait 35;Trait 36;Trait 37;Trait 38;Trait 39;Trait 40;Trait 41;Trait 42;Trait 43;Trait 44;Trait 45;Trait 46;Trait 47;Trait 48;Trait 49;Trait 50;Trait 51;Trait 52;Trait 53;Trait 54;Trait 55;Trait 56;Trait 57;Trait 58;Trait 59;Trait 60;Trait 61;Trait 62;Trait 63;Trait 64;Trait 65;Trait 66;Trait 67;Trait 68;Trait 69;Trait 70;Trait 71;Trait 72;Trait 73;Trait 74;Trait 75;Trait 76;Trait 77;Trait 78;Trait 79;Trait 80;Trait 81;Trait 82;Trait 83;Trait 84;Trait 85;Trait 86;Trait 87;Trait 88;Trait 89;Trait 90;Trait 91;Trait 92;Trait 93;Trait 94;Trait 95;Trait 96
Rathayibacter rathayi;GP;0;0;0;100;0;0;0;95;79;0;0;0;0;42;21;89;68;0;0;0;76;11;32;0;37;11;24;0;0;79;0;0;0;0;89;11;29;0;0;0;0;34;100;89;0;0;0;0;0;13;92;0;34;100;89;58;0;100;3;21;11;95;100;3;18;100;42;53;97;0;0;11;18;0;0;0;0;0;0;11;0;37;0;5;100;100;21;100;58;0;0;0;0;0;0;0
Rathayibacter tritici;GP;0;0;0;85;11;0;2;15;0;0;0;0;0;0;0;80;76;0;61;0;43;17;100;0;0;0;39;11;0;93;0;15;0;0;43;13;2;0;39;59;0;17;22;9;0;0;0;96;0;46;85;4;87;43;43;0;43;0;17;0;0;35;43;0;43;70;52;0;43;43;43;0;4;0;0;0;43;20;0;43;37;9;0;100;2;20;9;0;2;0;0;0;0;0;0;0
Rhodococcus australis;GP;11;7;11;54;43;4;11;100;100;100;64;11;29;0;0;18;100;0;4;4;0;0;100;4;0;0;7;4;4;100;7;0;4;0;0;0;0;0;14;100;29;79;96;4;0;4;7;93;7;89;100;0;82;100;100;100;7;4;0;100;0;57;11;14;54;57;100;100;96;11;7;14;96;4;75;93;4;68;89;46;96;29;14;14;21;0;11;4;25;4;14;46;32;14;11;14
Rhodococcus coprophilus;GP;0;0;0;35;0;0;11;100;100;0;0;0;0;0;0;0;100;0;0;0;30;0;43;0;0;0;0;0;0;100;0;20;0;2;0;0;4;0;9;100;0;0;35;0;2;0;0;35;0;11;39;0;9;85;0;30;0;0;0;87;0;0;0;0;30;72;9;78;100;0;9;0;0;0;0;0;0;11;0;0;0;0;0;35;9;9;0;9;0;0;0;0;0;0;0;0
Rhodococcus equi;GP;0;0;3;27;3;0;4;100;97;0;0;0;4;0;3;3;3;3;3;3;4;3;100;0;3;0;0;3;3;40;3;3;3;3;9;0;4;3;3;3;3;3;59;13;3;3;3;3;3;3;51;3;8;32;100;3;35;3;3;100;100;40;100;3;3;69;6;95;97;8;3;3;13;3;3;3;3;3;3;3;3;3;3;100;41;1;3;3;3;3;3;3;3;3;3;3
Rhodococcus erythropolis;GP;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;100;0;0;0;0;15;70;0;0;0;0;0;0;85;0;0;0;0;0;0;0;0;15;100;0;0;95;40;0;0;0;0;0;0;35;0;0;10;5;5;10;0;0;65;0;0;35;0;10;30;80;85;20;0;0;0;40;0;0;5;0;0;0;0;0;70;5;40;0;0;0;0;0;0;0;0;0;0;0;0
Rhodococcus fascians;GP;0;0;0;19;0;0;19;100;88;3;0;3;19;28;0;6;100;0;6;3;9;9;94;6;0;12;6;0;12;100;0;9;0;3;6;0;3;0;6;100;0;0;100;0;0;9;0;75;3;31;12;9;6;94;38;0;16;0;9;69;0;0;53;22;66;31;25;91;88;16;31;6;34;9;59;3;97;6;0;0;41;0;16;47;25;38;3;25;9;3;0;3;34;3;6;6
Rhodococcus globerulus;GP;0;0;0;21;0;0;0;4;4;0;0;0;0;4;0;0;100;0;0;0;7;0;86;0;0;0;7;0;14;61;0;0;0;0;0;0;14;0;0;93;0;0;14;4;0;0;0;0;0;0;57;0;0;7;29;0;4;0;0;89;0;0;54;0;0;32;7;54;32;0;0;0;7;0;0;0;0;4;0;0;0;7;0;100;0;0;0;0;0;0;0;0;0;4;0;0
Rhodococcus rhodnii;GP;0;0;0;6;0;0;22;100;100;0;0;0;0;0;0;0;0;0;0;0;0;100;56;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;11;0;0;17;100;6;6;0;22;61;39;28;100;0;100;67;100;83;100;67;100;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rhodococcus rhodochrous;GP;0;0;22;78;12;9;28;100;100;12;25;16;31;56;41;44;100;9;19;12;66;19;94;22;16;9;28;19;31;100;22;25;12;9;16;25;38;6;50;100;16;12;66;100;6;41;22;22;19;81;88;34;16;100;100;59;28;0;31;100;0;9;100;9;9;81;100;97;100;22;12;22;9;0;0;6;0;41;9;19;0;0;9;38;28;3;12;41;19;3;3;22;22;9;12;12
