Species Name;Gram;Trait 1;Trait 2;Trait 3;Trait 4;Trait 5;Trait 6;Trait 7;Trait 8;Trait 9;Trait 10;Trait 11;Trait 12;Trait 13;Trait 14;Trait 15;Trait 16;Trait 17;Trait 18;Trait 19;Trait 20;Trait 21;Trait 22;Trait 23;Trait 24;Trait 25;Trait 26;Trait 27;Trait 28;Trait 29;Trait 30;Trait 31;Trait 32;Trait 33;Trait 34;Trait 35;Trait 36;Trait 37;Trait 38;Trait 39;Trait 40;Trait 41;Trait 42;Trait 43;Trait 44;Trait 45;Trait 46;Trait 47;Trait 48;Trait 49;Trait 50;Trait 51;Trait 52;Trait 53;Trait 54;Trait 55;Trait 56;Trait 57;Trait 58;Trait 59;Trait 60;Trait 61;Trait 62;Trait 63;Trait 64;Trait 65;Trait 66;Trait 67;Trait 68;Trait 69;Trait 70;Trait 71;Trait 72;Trait 73;Trait 74;Trait 75;Trait 76;Trait 77;Trait 78;Trait 79;Trait 80;Trait 81;Trait 82;Trait 83;Trait 84;Trait 85;Trait 86;Trait 87;Trait 88;Trait 89;Trait 90;Trait 91;Trait 92;Trait 93;Trait 94;Trait 95;Trait 96
Bordetella pertussis;GN;0;0;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;22;3;0;0;0;0;0;0;12;22;22;0;0;12;88;0;97;0;0;0;0;0;0;0;25;0;41;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
Bordetella trematum;GN;0;0;0;62;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;98;100;96;96;94;27;0;0;0;0;0;79;94;10;17;79;79;94;73;90;0;100;0;0;10;100;48;96;0;65;90;90;60;56;67;100;58;71;0;0;83;0;83;71;44;77;73;71;0;10;0;0;0;0;0;0;0;0;0;42;0;0
Bordetella-like species;GN;0;0;0;25;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;75;100;100;54;0;0;0;0;0;100;100;46;18;96;100;100;100;100;0;100;0;0;14;100;89;100;0;96;100;100;46;82;68;100;29;82;0;0;100;0;100;100;50;93;93;100;0;46;0;0;0;0;0;0;0;0;0;75;0;0
Brenneria rubrifaciens;GN;0;0;30;0;0;0;0;100;0;20;0;0;0;100;0;10;55;100;0;0;0;15;90;100;0;80;100;0;0;10;100;20;20;0;100;40;0;10;0;0;0;0;100;0;0;0;0;0;0;0;100;70;0;0;0;0;0;0;0;40;100;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;20;0;0;0;0;100;0;0;0
Brenneria salicis;GN;0;0;31;0;0;0;0;100;0;8;0;10;0;100;0;42;0;100;92;8;2;54;100;100;50;100;100;29;4;8;100;54;79;0;100;46;0;0;4;0;79;0;100;0;0;8;0;0;0;0;8;0;0;8;0;2;0;0;0;100;100;10;0;0;0;0;0;6;29;8;0;2;0;0;0;0;0;8;0;0;0;4;0;0;0;0;0;0;0;0;0;0;100;0;0;0
Brevundimonas diminuta;GN;2;25;4;25;64;60;3;1;1;8;3;2;13;18;1;1;3;4;1;1;1;2;3;0;15;21;12;0;1;1;0;3;3;0;52;26;84;35;2;0;2;3;3;1;2;0;100;0;0;26;54;3;79;1;1;32;0;2;0;2;0;11;1;91;90;91;97;95;91;100;95;100;75;87;65;60;3;98;0;0;95;93;0;5;14;4;2;0;10;0;0;14;3;3;4;3
Brevundimonas vesicularis;GN;5;100;100;62;57;63;2;2;3;0;3;95;12;0;3;52;38;100;2;23;10;100;2;43;18;33;2;5;17;13;8;28;73;2;65;72;82;22;2;7;2;7;2;2;3;20;100;5;0;5;37;27;73;27;2;47;3;3;0;88;83;28;3;77;78;35;80;50;3;100;18;100;2;2;12;7;3;42;2;0;85;82;2;2;0;2;10;3;2;2;3;8;2;2;42;48
Budvicia aquatica;GN;0;0;0;0;0;0;5;100;0;50;59;0;9;18;0;61;0;82;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;9;45;0;50;30;23;9;0;0;0;0;0;0;0;95;0;0;0;0;0;0;57;0;0;0;5;0;0;100;95;0;73;0;0;0;0;0;0;0;0;82;27;0;0;0;0;0;9;0;0;0;0;0;95;100;9;0
Burkholderia andropogonis;GN;0;0;44;12;27;40;0;0;87;98;96;8;0;79;0;98;0;100;54;0;44;0;96;100;0;0;92;0;8;58;0;0;37;0;63;87;94;79;65;96;29;94;8;0;96;0;46;0;0;0;0;56;0;31;90;0;98;98;0;98;100;94;2;27;96;96;0;96;96;100;0;0;0;0;0;0;0;75;100;2;62;0;0;0;0;0;0;0;0;0;2;0;17;0;0;0
Burkholderia caryophylli;GN;0;0;16;52;80;84;0;50;20;86;66;0;0;75;52;84;0;70;50;0;0;0;73;50;0;0;34;0;50;55;84;0;7;48;100;100;82;98;32;100;2;50;100;50;50;82;100;0;75;0;41;93;0;100;45;75;91;73;2;100;98;82;9;59;52;95;61;100;84;100;14;41;50;39;5;16;50;100;52;41;98;52;0;61;0;0;5;0;30;0;0;34;57;0;0;0
Burkholderia cepacia;GN;0;0;30;34;99;100;29;99;69;60;91;23;11;99;33;99;49;100;90;0;0;0;96;97;6;11;54;34;0;90;99;26;29;0;100;96;86;100;100;99;37;89;97;10;63;80;100;1;63;19;86;10;29;100;94;93;99;89;87;100;100;66;10;46;76;97;79;100;99;100;0;19;99;86;23;7;76;96;94;84;100;43;19;99;97;0;0;1;53;40;97;57;47;60;56;100
Burkholderia gladioli;GN;0;0;45;50;94;97;33;91;82;74;98;12;0;97;96;95;8;98;91;0;0;0;98;98;0;2;90;0;0;96;0;83;36;12;98;100;88;98;98;100;20;0;88;76;5;97;98;2;0;9;95;49;40;97;92;94;84;95;68;100;99;84;12;52;86;98;76;98;98;98;1;21;93;62;55;21;66;76;66;73;98;72;49;96;83;41;0;27;0;0;78;0;64;73;8;98
Burkholderia glathei;GN;0;4;50;75;88;92;0;100;21;96;100;8;0;100;79;88;4;96;71;0;29;0;100;100;0;8;100;0;96;92;0;8;42;83;100;100;100;100;100;100;46;100;100;75;100;83;100;46;88;58;67;46;12;100;100;92;100;92;8;100;100;96;67;4;71;75;50;100;100;100;0;42;67;50;96;0;100;100;58;33;50;50;4;50;0;0;0;0;71;0;54;0;0;0;0;50
Burkholderia glumae;GN;0;0;38;47;88;94;0;0;53;88;88;6;0;94;81;56;3;88;81;0;0;0;91;88;25;0;56;0;0;81;0;72;25;0;94;94;88;94;91;94;0;0;22;12;0;47;81;0;0;0;59;0;22;25;88;84;94;34;12;94;94;72;0;9;44;91;16;94;62;94;0;0;44;3;0;0;22;88;0;0;94;22;12;100;3;0;3;0;0;0;66;0;72;81;0;91
Burkholderia multivorans;GN;0;0;62;67;100;100;0;100;86;64;97;50;3;100;46;100;26;100;85;0;0;0;99;100;0;7;83;0;0;99;0;90;53;74;100;100;100;100;100;100;96;69;100;97;39;8;100;22;94;18;69;46;15;78;99;99;100;75;92;100;100;88;25;24;85;99;69;100;99;100;0;19;100;74;54;24;100;100;96;46;100;36;86;100;99;0;0;0;58;14;100;72;64;68;0;100
Burkholderia phenazinium;GN;0;11;31;67;83;92;14;100;92;47;94;3;0;97;72;53;0;100;50;0;0;11;92;67;0;0;75;0;50;83;58;0;6;56;78;97;94;97;50;86;31;89;97;100;0;83;100;14;50;56;72;94;31;78;6;89;64;50;81;100;100;92;0;42;92;97;97;100;81;100;28;94;94;8;56;8;89;92;83;47;94;89;0;94;94;11;0;0;0;0;75;0;94;72;0;50
Burkholderia plantarii;GN;0;0;79;73;100;100;0;65;0;98;100;52;4;100;90;96;77;100;100;0;0;0;100;100;10;21;98;0;67;100;0;92;83;0;100;100;100;67;50;100;2;0;38;83;0;85;100;4;4;15;83;31;8;90;100;100;100;98;42;100;100;83;0;46;83;100;42;100;94;100;0;0;79;100;48;0;83;94;81;79;100;83;48;100;19;0;0;0;0;0;88;0;38;54;0;54
Burkholderia pseudomallei;GN;0;0;87;87;82;84;38;58;0;3;72;3;21;76;26;79;1;100;70;0;0;0;78;75;1;3;25;2;0;78;56;58;17;53;82;93;61;39;32;85;18;0;82;58;0;80;100;34;59;3;78;86;14;76;38;69;66;0;79;96;97;68;0;41;97;99;74;100;79;100;2;21;72;53;16;1;68;83;28;72;97;46;38;90;11;0;1;0;18;16;70;0;71;72;65;97
Burkholderia pyrrocinia;GN;0;0;34;59;95;100;0;100;66;80;100;18;0;100;93;100;32;100;100;0;0;0;100;95;0;0;89;32;0;100;100;52;18;52;100;100;100;100;100;100;39;68;100;52;61;84;100;43;77;0;80;9;27;100;98;98;100;100;98;100;100;86;52;16;98;100;77;100;100;100;0;34;100;98;86;64;100;98;98;86;100;93;57;100;100;0;0;43;93;50;100;0;95;98;5;100
Burkholderia vietnamiensis;GN;0;0;66;66;84;93;0;98;0;75;100;41;5;98;30;100;5;100;80;0;0;0;100;100;9;7;95;16;0;100;84;41;59;0;100;100;100;100;100;100;55;70;100;64;52;100;100;0;80;100;84;27;20;100;98;100;100;80;82;100;100;80;50;66;84;100;23;100;100;100;0;2;75;75;68;61;98;100;84;23;100;91;64;100;89;0;0;0;23;45;100;95;77;66;2;100
Buttiauxella agrestis;GN;0;0;84;3;12;9;83;100;0;92;0;100;0;100;17;100;93;100;0;70;7;70;100;100;100;99;84;93;59;0;0;100;16;0;61;4;28;0;0;0;82;53;100;1;25;0;0;0;0;0;5;0;0;70;1;0;3;5;0;8;1;0;5;0;21;91;93;32;14;24;93;43;0;0;0;0;0;5;0;84;67;0;0;0;0;100;89;99;0;0;0;0;97;32;100;100
Buttiauxella brennerae;GN;0;0;60;0;0;0;60;100;100;90;100;100;0;100;0;100;90;100;0;0;0;30;100;100;90;100;75;85;30;10;0;100;0;0;35;0;30;0;5;0;90;25;85;0;5;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;10;0;10;55;50;10;0;5;50;35;0;0;0;0;0;0;0;55;60;0;0;0;0;95;20;80;0;0;0;0;90;0;100;30
Buttiauxella ferragutiae;GN;0;0;60;0;0;0;85;100;0;95;0;100;0;100;0;95;45;100;60;0;5;70;100;100;10;100;95;0;70;40;0;100;5;0;90;0;10;0;0;15;0;25;100;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;30;95;100;90;0;20;95;95;0;35;0;0;0;0;0;75;100;0;0;0;0;85;75;100;0;0;0;0;85;0;100;100
Buttiauxella gaviniae;GN;0;0;80;0;0;0;35;95;90;60;90;95;0;100;0;80;75;100;0;0;0;85;95;90;0;95;95;0;50;0;0;100;40;0;30;0;5;0;0;0;0;55;85;0;25;0;0;0;0;0;10;0;0;65;0;0;0;0;0;0;0;0;5;0;20;65;55;45;40;25;70;45;0;0;0;0;0;0;0;50;75;0;0;0;0;85;50;85;0;0;0;0;90;15;85;80
Buttiauxella izardii;GN;0;0;100;0;0;4;64;100;0;89;0;100;0;100;39;100;93;100;0;11;0;100;100;100;100;100;79;18;68;0;0;100;21;0;79;0;29;0;0;0;82;39;93;21;0;0;0;0;0;0;11;0;0;57;0;0;0;7;0;0;0;0;0;0;4;79;86;4;0;4;50;11;0;0;0;0;0;0;0;0;0;0;0;0;0;93;86;93;0;0;0;0;89;0;100;100
Buttiauxella noackiae;GN;0;0;95;0;0;0;65;100;0;90;0;100;0;100;0;100;90;100;0;0;0;80;100;100;0;100;100;0;40;0;0;100;20;0;20;0;0;0;0;25;0;0;100;15;0;0;0;0;0;0;10;0;0;55;0;0;0;0;0;0;0;0;0;15;0;10;30;0;0;0;0;0;0;0;0;0;0;0;0;45;10;0;0;0;0;90;65;85;0;0;0;0;60;0;100;100
Buttiauxella warmboldiae;GN;0;0;75;0;0;0;60;100;0;80;0;100;0;100;10;100;35;100;50;0;0;55;100;100;0;100;90;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;20;50;0;0;0;0;70;0;0;0
CDC group DF-3 (Capnocytophaga);GN;0;100;100;42;0;0;25;100;0;92;0;100;0;100;2;100;100;100;2;100;100;100;0;100;100;90;96;94;6;2;100;92;98;0;92;0;0;0;0;0;0;8;0;0;0;75;0;0;0;0;92;0;88;75;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;17;15;0;0;46;0;0;0;0;0;0;0;0;0;0;33;81;94;0;0;0;0;96;98;88;94
CDC group EF-4 (Neisseria);GN;0;0;32;0;0;0;0;0;0;11;0;0;0;0;0;0;0;93;0;0;0;0;0;7;0;0;0;0;0;0;0;0;29;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;46;0;100;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;86;61;0;0;0;0;7;0;0;50;46
CDC group EO-2;GN;0;0;33;50;0;0;0;0;88;100;50;4;0;100;67;88;4;100;96;17;17;29;0;100;12;0;100;0;88;12;25;25;29;75;100;100;79;0;0;92;0;29;0;4;0;54;100;12;0;0;21;0;8;100;17;96;100;0;17;100;96;96;21;0;71;100;33;92;67;67;0;0;67;0;0;4;0;67;0;29;71;0;12;0;88;0;8;8;0;0;0;0;25;0;0;0
CDC group II-E subgroup A;GN;0;100;100;65;35;25;0;0;0;0;0;25;0;0;0;0;15;85;0;0;0;100;0;65;0;30;0;0;0;0;0;35;0;0;35;100;45;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;95;0;0;5;0;0;0;0;0;0;0;35;0;65;90;65;65;70;90;100;0;0;35;75;0;65;0;0;65;50;0;0;50;60;55;55;0;0;0;0;0;0;35;35
CDC group II-E subgroup B;GN;0;22;50;0;75;12;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;59;0;19;0;0;0;0;0;0;0;0;0;0;9;100;59;0;0;0;0;0;0;0;0;6;0;0;0;0;22;0;94;3;0;3;0;0;0;0;0;0;0;0;0;75;100;6;3;69;78;100;0;0;16;0;0;19;0;0;56;75;0;0;0;19;25;38;0;0;0;0;41;16;0;0
CDC group II-H;GN;0;100;100;95;93;97;0;0;0;2;0;25;0;0;0;0;100;97;0;0;0;97;0;97;2;0;3;0;0;0;0;3;7;0;17;87;72;0;0;0;0;0;0;0;0;13;0;0;0;0;33;0;93;0;0;43;0;0;0;0;0;0;0;5;0;53;100;77;38;97;95;100;0;0;0;33;0;53;0;0;90;67;0;0;3;32;53;50;3;0;7;0;33;10;20;18
Capnocytophaga carnimorsus;GN;0;88;87;35;0;0;83;98;2;33;2;71;0;58;2;100;88;92;0;100;85;96;0;92;6;25;6;2;0;8;6;63;87;0;96;71;17;6;2;6;0;17;8;0;2;0;2;2;0;2;100;2;19;2;2;12;2;0;2;8;0;0;2;4;2;54;69;4;0;4;75;71;8;2;8;0;0;92;4;4;4;77;2;2;0;33;44;69;4;2;2;6;4;2;31;17
Capnocytophaga cynodegmi;GN;0;93;100;0;0;0;100;100;0;0;0;57;0;100;0;100;100;100;0;100;100;100;0;100;7;0;100;100;0;0;100;0;100;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;7;0;0;0;0;0;0;21;0;0;0;0;0;29;100;0;0;0;14;100;0;0;0;0;0;50;0;0;0;64;0;0;0;32;18;14;0;0;0;0;0;0;39;7
Capnocytophaga gingivalis;GN;0;0;100;4;0;0;0;0;0;0;0;64;0;7;0;4;64;100;4;18;4;71;0;100;7;32;50;25;0;0;100;43;100;0;100;46;0;0;0;0;0;0;0;0;0;64;0;0;4;0;100;32;0;79;0;0;0;0;0;61;4;0;0;4;0;0;4;21;18;61;100;100;4;0;0;4;4;4;4;0;43;68;0;0;0;32;75;64;0;0;0;0;0;0;79;43
Capnocytophaga granulosa;GN;0;0;100;0;0;0;0;0;0;17;0;47;0;0;0;0;69;100;6;100;50;94;6;100;0;28;83;72;0;0;100;56;100;0;100;64;0;0;0;0;0;0;0;0;0;100;0;0;0;0;81;28;0;100;0;0;0;0;0;81;0;3;0;0;0;0;0;0;0;14;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;14;53;0;0;0;0;0;0;0;64;6
Capnocytophaga haemolytica;GN;0;100;100;62;0;0;38;100;0;0;0;100;0;100;0;100;100;100;0;100;75;100;0;100;0;0;100;100;0;0;100;69;100;0;100;69;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;81;100;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;62;81;0;0;0;0;0;88;0;0;0;88;0;0;0;56;88;100;0;0;0;0;0;0;100;100
Capnocytophaga ochracea/sputigena;GN;1;100;100;82;13;0;26;100;0;10;0;98;0;100;0;100;100;100;0;100;99;100;0;100;0;71;100;100;0;2;100;100;98;0;100;26;1;1;2;1;0;10;0;1;0;100;0;0;0;0;100;11;39;100;0;0;0;0;0;10;0;0;3;0;0;0;0;0;0;25;7;73;0;0;1;2;0;15;0;0;8;35;0;0;0;22;82;93;0;0;0;1;0;0;100;100
Cardiobacterium hominis;GN;0;0;100;18;14;0;39;57;0;0;0;71;0;100;0;4;79;100;0;0;0;100;86;100;25;36;100;0;0;86;100;64;100;7;64;29;0;0;0;0;0;0;0;0;0;93;0;0;0;0;68;39;0;93;0;0;0;0;0;39;39;18;0;0;0;0;0;0;4;50;4;14;4;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;64;100;82
Cedecea davisae;GN;0;0;84;0;4;3;89;100;0;0;100;100;0;100;0;100;100;100;75;1;0;73;100;100;0;98;100;0;0;0;100;100;48;0;95;18;0;0;55;61;0;7;100;3;15;0;0;0;0;0;2;0;0;68;0;0;0;0;0;55;99;0;3;0;7;70;62;66;64;15;13;43;0;0;0;0;0;0;0;92;64;1;0;0;0;100;93;78;0;0;0;0;97;88;100;100
Cedecea lapagei;GN;0;0;100;0;0;0;0;100;6;6;76;85;0;100;6;85;97;100;6;6;0;41;97;100;3;100;68;3;6;85;6;100;97;0;41;0;0;0;0;0;0;0;79;0;0;6;0;0;0;0;32;3;0;26;0;0;0;0;0;0;24;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;65;38;21;0;0;0;0;6;62;100;100
Cedecea neteri;GN;0;0;100;5;21;25;98;100;23;0;100;100;0;100;0;100;100;100;75;0;0;96;100;100;0;100;100;0;0;100;98;100;39;0;91;88;43;7;98;43;98;0;100;55;0;0;0;0;0;0;0;0;0;96;4;0;0;0;0;98;98;21;0;0;73;95;77;84;98;89;0;39;0;0;0;0;0;16;0;100;100;57;0;34;0;100;96;66;0;0;0;0;100;98;100;100
Chromobacterium violaceum;GN;0;0;99;82;100;100;0;100;0;7;1;34;0;97;0;0;25;99;0;0;0;0;0;99;3;7;96;0;0;0;12;100;79;0;100;68;78;7;13;10;0;0;35;0;0;82;94;0;0;1;81;12;12;100;0;76;0;0;0;97;93;75;0;96;90;100;96;88;81;84;35;97;84;68;54;54;91;66;4;78;99;94;0;7;35;91;79;99;0;0;0;0;38;85;87;100
Chryseobacterium balustinum;GN;0;38;50;8;58;42;0;0;0;8;0;0;0;0;0;0;54;75;0;0;0;33;0;79;0;8;0;0;0;0;0;58;12;0;0;100;67;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;8;0;0;0;0;0;0;0;0;0;0;0;100;75;100;0;67;4;0;0;58;0;21;0;0;58;42;0;0;0;4;12;0;0;0;0;8;67;0;0;0
Chryseobacterium gleum /indologenes;GN;5;100;100;100;83;82;7;9;8;62;5;26;9;92;7;12;95;96;11;8;7;93;4;100;21;38;64;9;5;11;13;95;33;5;33;91;92;20;33;68;7;13;9;9;8;4;8;20;0;0;54;11;64;8;9;76;7;7;0;28;0;22;4;30;0;62;83;97;87;89;70;86;4;20;51;74;74;67;7;3;62;70;4;0;5;86;89;63;1;0;0;39;95;49;30;30
Chryseobacterium indoltheticum;GN;0;61;64;0;7;4;0;0;0;0;0;36;0;0;0;0;71;71;0;0;0;57;0;71;0;4;4;0;0;0;0;4;14;0;14;100;4;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;46;0;0;0;0;0;0;0;0;0;0;25;0;7;29;43;7;50;46;46;0;0;14;50;0;14;0;0;39;50;0;0;57;29;61;64;0;0;0;0;0;0;4;7
Chryseobacterium meningosepticum;GN;0;14;99;31;86;81;40;99;0;11;0;25;3;97;29;1;100;100;0;49;0;54;88;100;19;8;0;0;0;4;0;100;35;0;25;100;79;1;8;49;0;0;0;0;25;0;0;0;0;0;12;0;92;0;0;7;1;0;0;15;0;1;0;72;0;69;94;96;100;100;94;100;11;0;64;46;4;72;0;0;81;81;0;0;8;96;97;97;0;3;0;3;90;57;58;40
Chryseobacterium scophthalmum;GN;38;46;67;88;50;58;29;29;25;8;25;62;46;83;17;33;100;100;29;33;25;71;17;100;29;38;58;29;71;25;29;100;67;25;100;96;100;4;0;0;21;71;21;29;17;12;21;21;0;0;83;17;96;25;25;62;33;8;0;71;8;54;4;12;0;71;100;67;75;100;83;92;0;21;100;71;92;79;8;0;83;100;21;0;0;71;75;54;0;0;0;29;38;21;58;62
Chryseomonas luteola;GN;0;0;92;43;40;35;0;0;0;100;68;0;0;90;65;100;17;100;88;0;0;93;60;98;8;10;60;0;52;0;0;75;38;0;52;83;57;98;100;98;67;65;90;0;62;63;78;0;77;3;22;100;35;87;48;52;72;100;0;98;100;47;33;82;37;67;38;90;63;93;32;25;0;2;15;3;0;78;23;0;78;22;0;53;0;8;13;0;0;0;2;0;88;18;0;0
Citrobacter amalonaticus;GN;0;0;93;7;2;7;82;83;0;100;0;98;4;85;96;96;73;82;0;0;0;93;86;86;0;97;99;0;92;95;0;97;4;0;87;72;24;2;8;29;86;55;85;78;48;32;0;0;0;0;24;1;0;97;0;40;0;15;0;97;91;16;17;11;63;99;98;100;100;0;93;19;0;0;0;0;0;0;0;100;94;0;0;0;0;98;93;97;0;0;0;0;78;71;100;90
Citrobacter braakii;GN;0;0;100;7;0;5;0;98;0;100;0;0;0;98;100;98;0;98;0;84;9;100;98;100;30;98;91;0;89;100;0;100;23;0;95;39;30;0;2;66;0;93;98;0;77;73;2;0;0;0;34;0;0;100;0;55;0;45;0;91;89;7;50;5;55;95;95;100;100;30;89;91;0;0;0;0;0;0;0;100;84;18;0;0;0;100;93;100;0;0;0;0;100;95;100;98
Citrobacter farmeri;GN;0;0;100;16;6;9;69;72;0;97;0;59;0;69;100;94;34;78;0;0;0;94;91;91;94;91;84;78;88;69;56;91;12;0;97;97;25;0;0;62;91;6;97;69;25;62;0;0;0;0;47;0;0;100;0;47;0;28;0;100;94;38;0;0;19;100;100;100;100;3;94;38;0;0;0;0;0;0;0;100;69;0;0;0;0;100;91;84;0;0;0;0;100;100;75;78
Citrobacter freundii;GN;0;0;98;12;4;7;90;96;0;100;3;36;0;96;98;99;46;95;85;82;12;98;99;99;48;97;93;27;88;99;90;100;22;6;96;95;30;0;6;33;0;95;98;84;92;63;0;0;2;0;38;2;0;100;0;55;0;36;0;100;99;18;36;4;66;98;92;100;100;10;95;83;0;1;0;0;0;2;0;97;98;16;0;0;0;100;91;99;0;2;1;0;100;93;100;99
Citrobacter gillenii;GN;0;0;97;0;0;0;53;94;0;100;0;50;0;100;94;100;6;97;50;58;11;94;97;100;100;72;97;3;94;64;0;100;3;0;83;100;11;0;67;11;0;72;100;0;50;19;6;0;0;0;0;42;0;100;0;0;0;0;0;100;100;17;17;0;100;100;100;22;31;83;0;97;0;53;0;0;0;3;0;100;97;36;0;0;0;100;100;97;0;0;0;0;100;97;100;100
Citrobacter koseri;GN;0;0;99;12;1;2;27;84;99;96;100;58;0;85;74;91;76;85;57;2;0;96;94;93;1;92;87;0;75;90;57;94;10;0;87;73;19;0;50;95;17;25;89;55;30;56;0;0;0;0;29;1;0;98;1;59;0;7;0;98;80;7;12;3;6;36;71;96;87;8;98;64;0;0;0;0;0;0;0;100;62;1;0;0;0;97;85;80;0;0;1;0;100;96;99;89
Citrobacter murliniae;GN;0;0;11;0;1;3;0;97;0;97;0;82;0;96;69;99;0;97;0;33;1;1;97;100;0;93;86;0;50;93;0;100;0;0;82;100;1;0;1;74;0;58;96;1;60;3;0;0;53;0;0;0;0;100;0;0;0;0;0;100;97;0;29;0;53;54;75;100;100;68;100;82;0;0;0;0;0;3;0;100;99;3;0;0;0;94;97;90;0;0;0;0;100;93;100;97
Citrobacter rodentium;GN;0;0;97;6;0;0;0;100;0;97;0;52;0;100;0;100;0;100;0;8;0;97;100;100;2;0;97;0;85;97;0;100;5;0;89;45;6;0;0;3;0;56;95;0;2;0;0;0;0;0;11;0;0;11;0;32;0;11;0;58;53;5;29;0;13;63;76;81;81;0;48;95;0;74;0;0;0;0;0;100;58;0;0;0;0;97;79;95;0;2;0;0;3;2;100;100
Citrobacter sedlakii;GN;0;0;100;6;0;2;0;76;0;94;0;54;0;78;85;87;9;78;83;63;19;98;76;80;81;96;87;0;80;87;0;83;4;0;78;69;28;0;19;43;85;57;91;76;48;59;0;0;0;0;31;2;0;100;0;46;0;26;0;100;91;9;37;4;6;91;81;100;96;2;52;39;0;0;0;0;0;4;0;100;78;0;0;2;0;100;94;93;0;0;0;0;100;100;50;96
Citrobacter werkmanii;GN;0;0;98;5;6;11;78;84;0;98;0;2;0;88;84;86;5;81;0;0;0;94;98;92;0;91;67;0;72;98;0;100;2;0;75;100;33;2;36;0;2;83;95;0;73;81;5;0;0;0;48;0;0;100;0;55;0;8;0;100;100;38;42;0;81;95;92;100;100;88;100;100;0;0;0;0;0;0;0;100;98;44;0;0;0;98;81;86;0;0;0;0;100;100;83;94
Citrobacter youngae;GN;0;0;100;39;0;5;0;92;0;100;0;0;0;95;97;97;0;87;0;0;0;97;97;97;0;97;95;0;79;100;5;100;13;0;89;95;29;0;0;84;0;92;97;92;63;76;0;0;0;0;47;0;0;100;0;68;0;34;0;100;97;45;45;5;66;100;95;100;100;5;100;87;0;0;0;0;0;0;0;100;100;32;0;0;0;97;95;95;0;0;0;0;100;100;100;97
Comamonas terrigena;GN;0;30;14;64;59;79;0;0;0;4;0;0;5;4;0;4;0;0;0;0;0;0;0;0;9;4;0;4;0;0;0;0;0;0;100;100;100;55;0;100;0;0;48;0;0;100;100;62;5;29;100;36;100;100;0;95;0;2;100;21;21;57;0;45;77;98;48;61;57;75;12;18;0;0;100;0;0;95;100;70;86;91;0;9;0;0;2;0;0;0;0;0;61;61;0;11
Comamonas testosteroni;GN;0;7;0;65;83;81;0;0;0;4;0;5;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;100;100;100;38;4;100;0;0;44;0;0;100;100;50;38;48;89;92;99;100;0;86;0;37;98;100;100;100;0;13;32;21;20;89;95;100;0;74;35;0;92;0;57;68;87;2;8;75;0;0;81;0;0;0;0;0;0;0;6;33;0;0
Cytophaga fermentans;GN;0;40;75;15;0;5;0;35;0;95;0;100;0;100;0;70;40;95;0;80;25;95;0;100;10;0;45;90;45;0;95;80;35;5;35;75;0;35;5;0;5;0;0;0;10;10;50;5;0;5;0;65;0;30;0;0;35;0;0;90;85;25;0;10;0;0;20;0;15;80;5;25;0;25;0;0;0;70;5;0;15;0;5;0;0;0;10;0;0;5;0;10;40;0;5;20
